Nama Petshop,Alamat,No WA,Mitra,Kota,Google Maps Link,Latitude,Longitude,Distributor,Kurir
AGJ Petshop,"Jl. Akses UI No.50, Tugu, Kec. Cimanggis, Kota Depok",628123456789063,Ya,Depok,https://www.google.com/maps/search/?api=1&query=AGJ%20Petshop%20Depok,-6.4025,106.7942,Pusat,
Bon Bon Pet Supplies,"Jl. Raya Pasir Putih No.2A, Sawangan, Depok",6281289603757,Ya,Depok,https://www.google.com/maps/search/?api=1&query=Bon%20Bon%20Pet%20Supplies%20Depok,-6.4025,106.7942,Pusat,
RG.Vet Petshop,"Jl. Raya Citayam No.15, Pd. Jaya, Kec. Cipayung, Depok",6281291628006,Ya,Depok,https://www.google.com/maps/search/?api=1&query=RG.Vet%20Petshop%20Depok,-6.4025,106.7942,Pusat,
CV Pet Nusa Bersaudara,"Jl. Pertengahan No.14, Cijantung, Ps. Rebo, Jakarta Timur",6281214951635,Ya,Jakarta Timur,https://www.google.com/maps/search/?api=1&query=CV%20Pet%20Nusa%20Bersaudara%20Jakarta%20Timur,-6.225014,106.900447,Pusat,
Ovi Petshop,"Jl. Pucung 3 No.8, Balekambang, Kramat Jati, Jakarta Timur",6281211444353,Ya,Jakarta Timur,https://www.google.com/maps/search/?api=1&query=Ovi%20Petshop%20Jakarta%20Timur,-6.225014,106.900447,Pusat,
Negeri Fauna Petshop,"Jl. Raya Regency Blok D5 No.53, Gembor, Kota Tangerang",6281280131132,Ya,Tangerang,https://www.google.com/maps/search/?api=1&query=Negeri%20Fauna%20Petshop%20Tangerang,-6.1783,106.6319,Pusat,
Kitty Catshop,"Jl. Tegal Sari, Dusun Buncitan, Sidomukti, Kec. Bungah, Kabupaten Gresik",6285727405684,Ya,Gresik,https://www.google.com/maps/search/?api=1&query=Kitty%20Catshop%20Gresik,-7.1592,112.6569,Pusat,
Dewi Cat House,Jln Panglima Sudirman no 190 RT 1 rw 4 Sidomulyo Tuban,6285648490322,Ya,Tuban,https://www.google.com/maps/search/?api=1&query=Dewi%20Cat%20House%20Tuban,-6.9,112.0667,Pusat,
Oke Vetcare,"Jl. Raya Tambakboyo, Sobontoro Kec. Tambakboyo, Tuban",6285733340220,Ya,Tuban,https://www.google.com/maps/search/?api=1&query=Oke%20Vetcare%20Tuban,-6.9,112.0667,Pusat,
Bramasco Cat House,"Jl. Patimura no. 13 (FOTO COPY BRAMASCO) Tuban, Jawa Timur",628123456789073,Ya,Tuban,https://www.google.com/maps/search/?api=1&query=Bramasco%20Cat%20House%20Tuban,-6.9,112.0667,Pusat,
Azria Petshop,Jl. Veteran No 74 Lamongan,6285745725808,Ya,Lamongan,https://www.google.com/maps/search/?api=1&query=Azria%20Petshop%20Lamongan,-7.12,112.415,Pusat,
Ichiyo Petshop Madiun Jatim,Madiun,628123406200,Tidak,Madiun,https://www.google.com/maps/search/?api=1&query=Ichiyo%20Petshop%20Madiun%20Jatim%20Madiun,-7.6298,111.5243,Pusat,
Oke Petshop Sukoharjo Jateng,Sukoharjo,6285291279377,Tidak,Sukoharjo,https://www.google.com/maps/search/?api=1&query=Oke%20Petshop%20Sukoharjo%20Jateng%20Sukoharjo,-7.6833,110.8333,Pusat,
Lolly Petshop Ponorogo Jatim,Ponorogo,6285655678910,Tidak,Ponorogo,https://www.google.com/maps/search/?api=1&query=Lolly%20Petshop%20Ponorogo%20Jatim%20Ponorogo,-7.8667,111.4667,Pusat,
Koneko Petshop Madiun Jatim,Madiun,6285649232195,Tidak,Madiun,https://www.google.com/maps/search/?api=1&query=Koneko%20Petshop%20Madiun%20Jatim%20Madiun,-7.6298,111.5243,Pusat,
Zeus Petshop Banjarmasin,Banjarmasin,6285349336007,Tidak,Banjarmasin,https://www.google.com/maps/search/?api=1&query=Zeus%20Petshop%20Banjarmasin%20Banjarmasin,-3.3167,114.59,Pusat,
Wm Petshop Magelang Jateng,Magelang,628562614310,Tidak,Magelang,https://www.google.com/maps/search/?api=1&query=Wm%20Petshop%20Magelang%20Jateng%20Magelang,-7.4722,110.2197,Pusat,
26 Petshop Grooming & Spa Badung Bali,Badung,6281338847862,Tidak,Badung,https://www.google.com/maps/search/?api=1&query=26%20Petshop%20Grooming%20%26%20Spa%20Badung%20Bali%20Badung,-8.5833,115.1833,Pusat,
431 Petshop Bandung,Bandung,62811247739,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=431%20Petshop%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
8 Petshop Bandung,Bandung,6281224665577,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=8%20Petshop%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
88 Petshop Suci Pethouse Bandung,Bandung,6282119303088,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=88%20Petshop%20Suci%20Pethouse%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
88 Vet Clinic Bekasi,Bekasi,6285782890496,Tidak,Bekasi,https://www.google.com/maps/search/?api=1&query=88%20Vet%20Clinic%20Bekasi%20Bekasi,-6.2383,106.9756,Pusat,
911 Equine Vet Bogor,Bogor,6285257694131,Tidak,Bogor,https://www.google.com/maps/search/?api=1&query=911%20Equine%20Vet%20Bogor%20Bogor,-6.5971,106.806,Pusat,
A&K Petshop Buleleng Bali,Buleleng,6281337975973,Tidak,Buleleng,https://www.google.com/maps/search/?api=1&query=A%26K%20Petshop%20Buleleng%20Bali%20Buleleng,-8.25,114.9667,Pusat,
AA Petshop Boyolali,Boyolali,6289669529700,Tidak,Boyolali,https://www.google.com/maps/search/?api=1&query=AA%20Petshop%20Boyolali%20Boyolali,-7.5333,110.6,Pusat,
Abadi Satwa Petshop Bekasi,Bekasi,6281290598656,Tidak,Bekasi,https://www.google.com/maps/search/?api=1&query=Abadi%20Satwa%20Petshop%20Bekasi%20Bekasi,-6.2383,106.9756,Pusat,
ABC Petshop Klaten,Klaten,6282281556638,Tidak,Klaten,https://www.google.com/maps/search/?api=1&query=ABC%20Petshop%20Klaten%20Klaten,-7.7028,110.6031,Pusat,
ABC Petshop Klaten Jawa Tengah,Klaten,6282184332713,Tidak,Klaten,https://www.google.com/maps/search/?api=1&query=ABC%20Petshop%20Klaten%20Jawa%20Tengah%20Klaten,-7.7028,110.6031,Pusat,
abigail ondine Petshop Surabaya,Surabaya,62811306272,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=abigail%20ondine%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
achmad Petshop Surabaya,Surabaya,6282139891221,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=achmad%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Admin Aulia Petshop,Aulia,6288996849486,Tidak,Aulia,https://www.google.com/maps/search/?api=1&query=Admin%20Aulia%20Petshop%20Aulia,,,Pusat,
AG Bird Petshop Tulungagung Jatim,Tulungagung,6285655781101,Tidak,Tulungagung,https://www.google.com/maps/search/?api=1&query=AG%20Bird%20Petshop%20Tulungagung%20Jatim%20Tulungagung,-8.0667,111.9,Pusat,
Agung Petshop Jambi,Jambi,6282282793717,Tidak,Jambi,https://www.google.com/maps/search/?api=1&query=Agung%20Petshop%20Jambi%20Jambi,-1.61,103.61,Pusat,
Ai Petshop Banda Aceh,Banda Aceh,6282350648822,Tidak,Banda Aceh,https://www.google.com/maps/search/?api=1&query=Ai%20Petshop%20Banda%20Aceh%20Banda%20Aceh,5.55,95.3167,Pusat,
Ailov Petshop Banda Aceh,Banda Aceh,6281367990381,Tidak,Banda Aceh,https://www.google.com/maps/search/?api=1&query=Ailov%20Petshop%20Banda%20Aceh%20Banda%20Aceh,5.55,95.3167,Pusat,
